epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4456,1.04944,3.7202,1.24266,0.00397,0.04291,0.00335,0.00035,0.53351,3.46474,0.87861,7.145e-05,7.145e-05,7.145e-05
2,57.9175,0.50745,3.09346,0.9274,0.00547,0.06465,0.03086,0.02099,0.53201,3.41438,0.86837,0.000154078,0.000154078,0.000154078
3,84.9124,0.52274,2.19594,0.90394,0.07017,0.8664,0.31773,0.27726,0.46564,2.98262,0.80348,0.00023331,0.00023331,0.00023331
4,112.193,0.51639,1.71274,0.89282,0.08058,0.99495,0.39059,0.33214,0.5187,2.70381,0.7919,0.000309147,0.000309147,0.000309147
5,139.227,0.47277,1.36425,0.89052,0.08104,0.98291,0.40317,0.33836,0.53968,2.7327,0.80509,0.000381589,0.000381589,0.000381589
6,165.018,0.4442,1.00663,0.87627,0.08202,0.98034,0.43989,0.37847,0.5038,2.54888,0.80036,0.000450635,0.000450635,0.000450635
7,192.359,0.48194,0.96357,0.91949,0.07816,0.92953,0.3999,0.35079,0.41517,2.70462,0.81511,0.000516286,0.000516286,0.000516286
8,216.559,0.45504,0.81607,0.91046,0.71691,0.35945,0.58373,0.49401,0.54787,2.04711,0.8513,0.000578542,0.000578542,0.000578542
9,243.635,0.47909,0.75147,0.89838,0.7314,0.39154,0.63507,0.58212,0.38638,1.77365,0.8182,0.000637403,0.000637403,0.000637403
10,268.21,0.4359,0.81286,0.87115,0.50827,0.36717,0.58271,0.53647,0.38509,1.94132,0.83054,0.000692868,0.000692868,0.000692868
11,292.063,0.42693,0.70942,0.8871,0.61781,0.5337,0.62233,0.58034,0.37774,1.69046,0.82947,0.000744938,0.000744938,0.000744938
12,320.348,0.41718,0.72309,0.86552,0.64126,0.92402,0.67973,0.62572,0.40904,1.59408,0.82338,0.000793612,0.000793612,0.000793612
13,350.438,0.41043,0.72119,0.86875,0.64704,0.90135,0.71402,0.66633,0.40785,1.55408,0.81193,0.000838892,0.000838892,0.000838892
14,381.955,0.45924,0.64648,0.8683,0.59867,0.76898,0.72693,0.65357,0.49592,1.55968,0.84468,0.000880776,0.000880776,0.000880776
15,407.843,0.46896,0.71161,0.8715,0.60341,0.79928,0.70622,0.61881,0.56657,1.5475,0.85278,0.000919264,0.000919264,0.000919264
16,432.529,0.41378,0.61438,0.867,0.60003,0.82824,0.67008,0.63119,0.35249,1.8458,0.80983,0.000954358,0.000954358,0.000954358
17,457.06,0.4641,0.63839,0.87413,0.63285,0.86828,0.68604,0.63146,0.4057,1.92934,0.81688,0.000976293,0.000976293,0.000976293
18,481.489,0.4461,0.74819,0.87401,0.66006,0.97054,0.72591,0.66684,0.41288,1.50959,0.81601,0.000947999,0.000947999,0.000947999
19,509.02,0.42162,0.60505,0.85268,0.64069,0.97631,0.75355,0.69667,0.39399,1.32286,0.81277,0.000919704,0.000919704,0.000919704
20,535.197,0.42353,0.59916,0.86766,0.53244,0.66153,0.63663,0.5994,0.3674,1.35537,0.80408,0.00089141,0.00089141,0.00089141
21,560.96,0.41052,0.55201,0.8521,0.40919,0.5186,0.52263,0.48209,0.41683,1.59561,0.80758,0.000863116,0.000863116,0.000863116
22,584.263,0.41283,0.61573,0.85421,0.40507,0.60193,0.63302,0.59037,0.3891,1.28837,0.8038,0.000834822,0.000834822,0.000834822
23,610.149,0.39864,0.67715,0.84595,0.83476,0.56304,0.792,0.74565,0.36604,1.07465,0.80493,0.000806528,0.000806528,0.000806528
24,637.461,0.39647,0.57752,0.85049,0.33703,0.63103,0.69884,0.65767,0.35015,1.24854,0.80434,0.000778233,0.000778233,0.000778233
25,664.121,0.37166,0.65195,0.84478,0.34758,0.63941,0.71059,0.65624,0.39008,1.17449,0.8165,0.000749939,0.000749939,0.000749939
26,690.016,0.37695,0.62557,0.84171,0.79421,0.60721,0.78681,0.74829,0.33752,1.06139,0.79656,0.000721645,0.000721645,0.000721645
27,718.945,0.36365,0.53628,0.83789,0.80854,0.56668,0.80133,0.77062,0.3254,1.06784,0.78818,0.000693351,0.000693351,0.000693351
28,744.203,0.34896,0.60987,0.84837,0.84,0.53461,0.80477,0.75543,0.36817,1.07881,0.79298,0.000665057,0.000665057,0.000665057
29,770.418,0.36439,0.60922,0.83694,0.85166,0.5708,0.80718,0.76161,0.36497,1.05348,0.79389,0.000636762,0.000636762,0.000636762
30,795.923,0.34968,0.58568,0.83768,0.52915,0.6725,0.81001,0.77894,0.31104,0.99449,0.79237,0.000608468,0.000608468,0.000608468
31,820.963,0.3362,0.53253,0.84572,0.57565,0.72462,0.81168,0.78385,0.30259,0.96761,0.79359,0.000580174,0.000580174,0.000580174
32,845.949,0.33606,0.57104,0.83463,0.6055,0.83855,0.83572,0.80223,0.31051,0.92914,0.79096,0.00055188,0.00055188,0.00055188
33,871.106,0.33717,0.48787,0.8327,0.60109,0.88445,0.84623,0.81558,0.31022,0.96326,0.78606,0.000523586,0.000523586,0.000523586
34,898.145,0.32918,0.52084,0.84071,0.59574,0.8831,0.86347,0.83687,0.29684,1.04133,0.78251,0.000495291,0.000495291,0.000495291
35,923.769,0.34338,0.46999,0.83555,0.59259,0.86991,0.86705,0.83713,0.30331,1.05944,0.78417,0.000466997,0.000466997,0.000466997
36,951.773,0.32279,0.48408,0.82917,0.57475,0.79719,0.86061,0.82255,0.31516,1.05807,0.79133,0.000438703,0.000438703,0.000438703
37,979.327,0.33004,0.48645,0.83765,0.5709,0.76815,0.85996,0.82232,0.31298,1.04585,0.79143,0.000410409,0.000410409,0.000410409
38,1005.16,0.32189,0.46654,0.83261,0.85818,0.62842,0.86175,0.83341,0.2911,0.98119,0.78638,0.000382115,0.000382115,0.000382115
39,1030.25,0.31853,0.4956,0.83454,0.92393,0.60749,0.86054,0.8342,0.28846,0.96034,0.7886,0.00035382,0.00035382,0.00035382
40,1055.64,0.31737,0.49332,0.83249,0.93295,0.59539,0.8629,0.83606,0.28766,0.95455,0.78742,0.000325526,0.000325526,0.000325526
41,1079.78,0.28831,0.4792,0.80893,0.93865,0.587,0.86205,0.83665,0.28661,0.96116,0.7882,0.000297232,0.000297232,0.000297232
42,1105.14,0.27956,0.49014,0.80605,0.94212,0.5891,0.86275,0.8386,0.28528,0.9785,0.78743,0.000268938,0.000268938,0.000268938
43,1129.85,0.27326,0.482,0.81145,0.95076,0.5891,0.8668,0.8423,0.28624,0.96992,0.78883,0.000240644,0.000240644,0.000240644
44,1159.72,0.26777,0.46617,0.80686,0.95701,0.61397,0.87299,0.84979,0.28128,0.91796,0.79516,0.000212349,0.000212349,0.000212349
45,1186.46,0.2757,0.43375,0.8051,0.9581,0.61843,0.8745,0.85198,0.28279,0.90048,0.79616,0.000184055,0.000184055,0.000184055
46,1211.49,0.27592,0.50353,0.80815,0.9646,0.62893,0.8797,0.855,0.28677,0.88507,0.79819,0.000155761,0.000155761,0.000155761
47,1236.67,0.26746,0.46954,0.81231,0.96867,0.62668,0.87825,0.85322,0.28394,0.88334,0.79817,0.000127467,0.000127467,0.000127467
